topic,difficulty,name,question_body
arrays,easy,Best Time to Buy and Sell Stock,"You are given an array prices where prices[i] is the price of a given stock on the ith day.
You want to maximize your profit by choosing a single day to buy one stock and choosing a different day in the future to sell that stock.
Return the maximum profit you can achieve from this transaction. If you cannot achieve any profit, return 0.

### Input Format

The first line contains an integer n the length of the original array a
The second line contains n integers a1, a2, ... the array elements themselves.

### Output Format

Print the maximum profit you can make from a single buy and sell transaction.

### Example 1:
```txt
Input:
    6
    7 1 5 3 6 4
Output:
    5
Explanation:
    Buy on day 2 (price = 1) and sell on day 5 (price = 6), profit = 6-1 = 5.
    Note that buying on day 2 and selling on day 1 is not allowed because you must buy before you sell.
```

### Example 2:
```txt
Input:
    5
    7 6 4 3 1
Output:
    0
Explanation:
    In this case, no transactions are done and the max profit = 0.
```

#### Constraints:
- 1 <= prices.length <= 100000
- 0 <= prices[i] <= 10000"
arrays,medium,Maximum Product Subarray,"Given an array Arr[] that contains N integers (may be positive, negative or zero). Find the product of the maximum product subarray.

### Input Format

The first line contains an integer n the length of the original array a
The second line contains n integers a1, a2, ... the array elements themselves.

### Output Format

Print the product of the maximum product subarray.

### Example 1:
```txt
Input:
    5
    6 -3 -10 0 2
Output:
    180
Explanation:
    Subarray with maximum product
    is [6, -3, -10] which gives product as 180.
```
### Example 2:
```txt
Input:
    6
    2 3 4 5 -1 0
Output:
    120
Explanation:
    Explanation: Subarray with maximum product
    is [2, 3, 4, 5] which gives product as 120.
```


#### Constraints:
- 1 ≤ N ≤ 500
- -100 ≤ Arr[i] ≤ 100
- Expected Time Complexity: O(N)
- Expected Auxiliary Space: O(1)"
arrays,medium,Majority Element II,"Given an array of positive and negative numbers, arrange them in an alternate fashion such that every positive number is followed by negative and vice-versa maintaining the order of appearance.
Number of positive and negative numbers need not be equal. If there are more positive numbers they appear at the end of the array. If there are more negative numbers, they too appear in the end of the array.

### Input Format

The first line contains an integer n the length of the original array a
The second line contains n integers a1, a2, ... the array elements themselves.

### Output Format

Print the arranged array elements.

### Example 1:
```txt
Input:
    6
    1  2  3  -4  -1  4
Output:
    -4  1  -1  2  3  4
```

### Example 2:
```txt
Input:
    10
    -5 -2 5 2 4 7 1 8 0 -8
Output:
    -5 5 -2 2 -8 4 7 1 8 0
```

#### Constraints:
- 1 ≤ N ≤ 1000000
- -100000 ≤ A[i] ≤100000"
arrays,medium,Triplet Sum in Array,"Given an array arr of size n and an integer X. Find if there's a triplet in the array which sums up to the given integer X.

### Input Format

First line contains N Q, number of elements in the array and the target number.
Second line contains N numbers, elements of the array.

### Output Format

Print 1 if there's a triplet in the array which sums up to the given integer X. Otherwise, print 0.

### Example 1:
```txt
Input:
    6 13
    1 4 45 6 10 8
Output:
    1
Explanation:
    The triplet {1, 4, 8} in the array sums up to 13.
```

### Example 2:
```txt
Input:
    5 10
    1 2 4 3 6
Output:
    1
Explanation:
    The triplet {1, 3, 6} in the array sums up to 10.
```



#### Constraints:
- 1 ≤ n ≤ 1000
- 1 ≤ A[i] ≤ 100000
- Expected Time Complexity: O(n2)
- Expected Auxiliary Space: O(1)"
arrays,easy,reverse an array,"Given an array (or string), the task is to reverse the array/string.

### Input Format

The first line contains an integer n the length of the original array a
The second line contains n integers a1, a2, ... the array elements themselves.

### Output Format

Print the reversed array elements.

### Example 1:
```txt
Input:
    3
    1 2 3
Output:
    3 2 1
```

### Example 2:
```txt
Input:
    3
    4 5 1 2
Output:
    2 1 5 4
```
#### Constraints:
- 1 ≤ N ≤ 1000000
- 1 ≤ A[i] ≤100000"
greedy,easy,N meetings in one room,"There is one meeting room in a firm. There are N meetings in the form of (start[i], end[i]) where start[i] is start time of meeting i and end[i] is finish time of meeting i.
What is the maximum number of meetings that can be accommodated in the meeting room when only one meeting can be held in the meeting room at a particular time?

**Note** : Start time of one chosen meeting can't be equal to the end time of the other chosen meeting.

### Input Format

The first line contains an integer n the length of the original array a and b.
The second line contains n integers a1, a2, ... the array elements themselves, denoting the start time of the meeting.
The third line contains n integers b1, b2, ... the array elements themselves, denoting the end time of the meeting.

### Output Format

Print the number of meetings that can be accommodated in the meeting room.

### Example 1:
```txt
Input:
    6
    1 3 0 5 8 5
    2 4 6 7 9 9
Output:
    4
Explanation:
    Maximum four meetings can be held with
    given start and end timings.
    The meetings are - (1, 2),(3, 4), (5,7) and (8,9)
```

### Example 2:
```txt
Input:
    3
    10 12 20
    20 25 30
Output:
    1
Explanation:
    Only one meetings can be held
    with given start and end timings.

```


#### Constraints:
- 1 ≤ N ≤ 100000
- 0 ≤ start[i] < end[i] ≤ 100000
- Expected Time Complexity : O(N*LogN)
- Expected Auxilliary Space : O(N)"
greedy,medium,Remove K Digits,"Given string num representing a non-negative integer num, and an integer k, return the smallest possible integer after removing k digits from num.

### Input Format

The first line contains an integer k , maximum amount of digits to be removed from the number.
The second line contains a non-negative integer num.

### Output Format

Print the smallest possible integer after removing k digits from num.

### Example 1:
```txt
Input:
    3
    1432219
Output:
    1219
Explanation:
    Remove the three digits 4, 3, and 2 to form the new number 1219 which is the smallest.
```

### Example 2:
```txt
Input:
    1
    10200
Output:
    200
Explanation:
    Remove the leading 1 and the number is 200. Note that the output must not contain leading zeroes.
```

### Example 3:
```txt
Input:
    2
    10
Output:
    0
Explanation:
    Remove all the digits from the number and it is left with nothing which is 0.
```

#### Constraints:
- 1 <= k <= num.length <= 100000
- num consists of only digits.
- num does not have any leading zeros except for the zero itself."
greedy,medium,Fractional Knapsack,"Given weights and values of N items, we need to put these items in a knapsack of capacity W to get the maximum total value in the knapsack.

**Note** : Unlike 0/1 knapsack, you are allowed to break the item.

### Input Format

The first line contains integers N and W, N being the length of the original array a, W being the capacity of the knapsack.
The second line contains n integers a1, a2, ... the array elements themselves, denoting the values of the items.
The second line contains n integers a1, a2, ... the array elements themselves, denoting the weight of the items.

### Output Format

Print a double value representing the maximum value in knapsack.

### Example 1:
```txt
Input:
    3 50
    60 100 120
    10 20 30
Output:
    240.00
Explanation:
    Explanation:Total maximum value of item
    we can have is 240.00 from the given
    capacity of sack.

```
### Example 2:
```txt
Input:
    2 50
    60 100
    10 20
Output:
    160.00
Explanation:
    Total maximum value of item
    we can have is 160.00 from the given
    capacity of sack.
```


#### Constraints:
- 1 <= N <= 100000
- 1 <= W <= 100000
- Expected Time Complexity : O(NlogN)
- Expected Auxilliary Space: O(1)
"
greedy,easy,Chocolate Distribution Problem ,"Given an array A[ ] of positive integers of size N, where each value represents the number of chocolates in a packet. Each packet can have a variable number of chocolates. There are M students, the task is to distribute chocolate packets among M students such that :
1. Each student gets exactly one packet.
2. The difference between maximum number of chocolates given to a student and minimum number of chocolates given to a student is minimum.

### Input Format

The first line contains an integer N and M, N represents the number of chocolate packets and M represents the number of students.
The second line contains n integers a1, a2, ... the array elements themselves.

### Output Format

Print the minimum possible difference between maximum number of chocolates given to a student and minimum number of chocolates given to a student.

### Example 1:
```txt
Input:
    8 5
    3 4 1 9 56 7 9 12
Output:
    6
Explanation:
    The minimum difference between
    maximum chocolates and minimum chocolates
    is 9 - 3 = 6 by choosing following M packets :
    {3, 4, 9, 7, 9}.

```

### Example 2:
```txt
Input:
    7 3
    7 3 2 4 9 12 56
Output:
    2
Explanation:
    The minimum difference between
    maximum chocolates and minimum chocolates
    is 4 - 2 = 2 by choosing following M packets :
    {3, 2, 4}.
```


#### Constraints:
- 1 ≤ T ≤ 100
- 1 ≤ N ≤ 100000
- 1 ≤ A[i] ≤ 1000000000
- 1 ≤ M ≤ N
- Expected Time Complexity: O(N*Log(N))
- Expected Auxiliary Space: O(1)"
greedy,easy,Maximize sum,"Given an array A of N integers. Your task is to write a program to find the maximum value of ∑arr[i]*i, where i = 0, 1, 2,…., n – 1.
You are allowed to rearrange the elements of the array.

**Note** : Since output could be large, hence module 109+7 and then print answer.

### Input Format

The first line contains an integer N the length of the original array A
The second line contains n integers a1, a2, ... the array elements themselves.

### Output Format

Print the maximum value of an array.

### Example 1:
```txt
Input:
    5
    5 3 2 4 1
Output:
    40
Explanation:
    If we arrange the array as 1 2 3 4 5 then
    we can see that the minimum index will multiply
    with minimum number and maximum index will
    multiply with maximum number.
```

```
So 1*0+2*1+3*2+4*3+5*4=0+2+6+12+20 = 40 mod(109+7) = 40
```

### Example 2:
```txt
Input:
    3
    1 2 3
Output:
    8
```


#### Constraints:
- 1 ≤ N ≤ 10000000
- 1 ≤ Ai ≤ N
- Expected Time Complexity: O(nlog(n)).
- Expected Auxiliary Space: O(1)."
backtracking,easy,Permutations of a given string,"Given a string S. The task is to print all permutations of a given string in lexicographical order.

### Input Format

The problem takes a string S as an input parameter.

### Output Format

Print the lexicographically sorted permutations of the string S.

### Example 1:
```txt
Input:
    ABC
Output:
    ABC ACB BAC BCA CAB CBA
Explanation:
    Given string ABC has permutations in 6
    forms as ABC, ACB, BAC, BCA, CAB and CBA .
```

### Example 2:
```txt
Input:
    ABSG
Output:
    ABGS ABSG AGBS AGSB ASBG ASGB BAGS
    BASG BGAS BGSA BSAG BSGA GABS GASB
    GBAS GBSA GSAB GSBA SABG SAGB SBAG
    SBGA SGAB SGBA
Explanation:
    Given string ABSG has 24 permutations.
```



#### Constraints:
- 1 <= length of string <= 10
- Expected Time Complexity: O(n! * n)
- Expected Space Complexity: O(n)"
backtracking,hard,Printing all solutions in N-Queen Problem,"The n-queens puzzle is the problem of placing n queens on an n x n chessboard such that no two queens attack each other.
Given an integer n, return the number distinct solutions to the n-queens puzzle.


### Input Format

The first line contains an integer N, denoting the size of the board in NxN format.

### Output Format

Print the number of discrete solutions to the n-queens puzzle.

### Example 1:
```txt
Input:
    1
Output:
    1
Explanation:
    For 1x1 board there can only be one queen.
```

### Example 2:
```txt
Input:
    10
Output:
    724
Explanation:
    For 10x10 board there can be 724 distinct solutions.
```

#### Constraints:
- 1 <= n <= 15"
backtracking,medium,Combinations,"Given two integers n and k, return all possible combinations of k numbers out of the range [1, n].

You may return the answer in any order.

### Input Format

The first line contains 2 integer N and K, where N is the range of the array and K is the number of elements to be picked.

### Output Format

Print all the combinations of K numbers out of the range [1, N]. Print the combinations in different lines.

### Example 1:
```txt
Input:
    4 2
Output:
    2 4
    3 4
    2 3
    1 2
    1 3
    1 4
```

### Example 2:
```txt
Input:
    1 1
Output:
    1
```

#### Constraints:
- 1 <= n <= 20
- 1 <= k <= n"
backtracking,hard,Solve the Sudoku,"Write a program to solve the game of sudoku.

A valid sudoku solution must follow these rules:
1. Each of the digit 1-9 must only occur once in a row and column
2. Each of the digit 1-9 must only occur once in 3x3 grid
3. It is guaranteed that the grid size would be 9x9

### Input Format

The input will contain a 9x9 matrix. Each cell will contain only digits 0-9, 0 representing an empty cell.

### Output Format

Print the solved sudoku solution in the form of a 9x9 matrix, replacing 0s with the digits 1-9.

### Example 1:
```txt
Input:
    0 0 4 0 1 0 0 0 0
    0 0 0 0 0 7 6 8 9
    0 0 0 0 0 0 1 0 4
    2 1 5 7 3 4 0 0 6
    3 0 6 0 0 8 2 7 5
    0 0 0 2 6 0 0 0 0
    4 3 2 5 7 1 0 0 0
    6 0 9 0 0 0 0 0 1
    8 7 0 0 4 6 0 0 0
Output:
    5 6 4 8 1 9 3 2 7
    1 2 3 4 5 7 6 8 9
    7 9 8 6 2 3 1 5 4
    2 1 5 7 3 4 8 9 6
    3 4 6 1 9 8 2 7 5
    9 8 7 2 6 5 4 1 3
    4 3 2 5 7 1 9 6 8
    6 5 9 3 8 2 7 4 1
    8 7 1 9 4 6 5 3 2
```

#### Constraints:
- 0 represents empty cell
- 0 <= Board[i] <= 9
- Expected Complexity: O(9^(n*n))
- row = col = 9
- It is guaranteed the solution to a sudoku would be unique"
binarysearch,hard,Median of two sorted Array,"Given two sorted arrays array1 and array2 of size m and n respectively. Find the median of the two sorted arrays.

### Input Format

The first line contains 2 integers N and M the length of the arrays respectively.
The second line contains n integers n1, n2, ... the array elements themselves.
The third line contains m integers m1, m2, ... the array elements themselves.

### Output Format

Print the median of the two sorted arrays.

### Example 1:
```txt
Input:
    3 4
    1 5 9
    2 3 6 7
Output:
    5
Explanation:
    The middle element for {1,2,3,5,6,7,9} is 5
```

### Example 2:
```txt
Input:
    2 4
    4 6
    1 2 3 5
Output:
    3.5
```


#### Constraints:
- 0 ≤ m,n ≤ 10^4
- 1 ≤ array1[i], array2[i] ≤ 10^5
- Expected Time Complexity: O(min(log n, log m)).
- Expected Auxiliary Space: O((n+m)/2)."
stacks,medium,Merge Overlapping Intervals,"Given a set of  intervals, find the size of its largest possible subset of intervals such that no three intervals in the subset share a common point.

### Input Format
The first line contains an integer n, denoting the number of intervals in the list.
Each line  of the  subsequent lines contains two space-separated integers describing the respective starting () and ending () boundaries of an interval.

## Output Format
print an integer denoting the size of the largest possible subset of intervals in the given set such that no three points in the subset overlap.

### Example 1:
```txt
Input:
    3
    1 2
    2 3
    2 4
Output:
    2
Explanation:
    For set , all three intervals fall on point  so we can only choose any  of the intervals. Thus, we print  on a new line.
```"
stacks,medium,Maximum Rectangular Area in a Histogram,"Find the largest rectangular area possible in a given histogram where the largest rectangle can be made of a number of contiguous bars. For simplicity, assume that all bars have the same width and the width is 1 unit, there will be N bars height of each bar will be given by the array arr.

### Input Format

The first line contains an integer n the length of the original array a, n denoting the height of each bar.
The second line contains n integers a1, a2, ... the array elements themselves.

### Output Format

Print the largest rectangular area possible.

### Example 1:
```txt
Input:
    7
    6 2 5 4 5 1 6
Output:
    12
```
![""1""](https://cdn.discordapp.com/attachments/882247424809242705/909750396761808936/unknown.png)

### Example 2:
```txt
Input:
    8
    7 2 8 9 1 3 6 5
Output:
    16
Explanation:
    Maximum size of the histogram
    will be 8  and there will be 2 consecutive
    histogram. And hence the area of the
    histogram will be 8x2 = 16.
```



#### Constraints:
- 1 ≤ N ≤ 1000000
- 1 ≤ arr[i] ≤ 1000000000000
- Expected Time Complexity: O(N)
- Expected Auxiliary Space: O(N)
"
stacks,easy,Valid Substring,"Given a string S consisting only of opening and closing parenthesis 'ie '('  and ')', find out the length of the longest valid(well-formed) parentheses substring.

**Note** : Length of the smallest valid substring ( ) is 2.

### Input Format

The first line contains a non-empty string S consisting of only characters '(' , ')'.

### Output Format

Print the length of the longest valid parentheses substring.

### Example 1:
```txt
Input:
    (()(
Output:
    2
Explanation:
    The longest valid substring is ""()"". Length = 2.
```

### Example 2:
```txt
Input:
    ()(())(
Output:
    6
Explanation:
    The longest valid substring is ""()(())"". Length = 6.
```


#### Constraints:
- 1 <= |S| <= 100000
- Expected Time Complexity:O(n)
- Expected Auxiliary Space: O(1)"
